Field ID,Object,Idling Location,Idling Date,Idling_End,Idle Duration (in minutes),Idle Duration (in hours),Driving Shift,X,Y,,,,
596,1690,"6.65 km from Al Wilayah al Wusta, Sudan (NE)",13/04/2022,13/04/2022 10:31,00:52:00,0.86666666700,Morning Shift,33.056102,13.024033,,,,
597,1690,"2.38 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 15:17,01:12:00,1.20000000000,Afternoon Shift,32.928307,13.070843,,,,
598,1690,"2.39 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 15:35,00:17:00,0.28333333300,Afternoon Shift,32.928257,13.070855,,,,
599,1690,"2.36 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 16:10,00:33:00,0.55000000000,Afternoon Shift,32.929245,13.070818,,,,
600,1690,"2.57 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 20:19,00:29:00,0.48333333300,Afternoon Shift,32.933738,13.073098,,,,
601,1683,"2.35 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 01:37,00:45:00,0.75000000000,Night Shift,32.929633,13.070768,,,,
602,1683,"2.36 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 06:23,00:30:00,0.50000000000,Night Shift,32.929290,13.070860,,,,
603,1683,"8.54 km from Jabal Umm Jidyan, Sudan (SW)",14/04/2022,14/04/2022 07:30,00:28:00,0.46666666700,Morning Shift,33.063493,13.182007,,,,
604,1683,"2.37 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 10:26,00:17:00,0.28333333300,Morning Shift,32.928245,13.070733,,,,
605,1683,--,14/04/2022,14/04/2022 19:31,00:17:00,0.28333333300,Afternoon Shift,32.968617,13.178528,,,,
606,1683,"2.36 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 21:33,00:25:00,0.41666666700,Afternoon Shift,32.929570,13.070862,,,,
607,1683,"6.98 km from Jabal Buyut, Sudan (SE)",14/04/2022,14/04/2022 23:51,00:44:00,0.73333333300,Night Shift,32.971038,13.215855,,,,
608,1687,"8.5 km from Jabal Umm Jidyan, Sudan (SW)",14/04/2022,14/04/2022 07:11,00:19:00,0.31666666700,Morning Shift,33.063795,13.182257,,,,
609,1687,"2.42 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 10:27,00:20:00,0.33333333300,Morning Shift,32.929107,13.071318,,,,
610,1687,--,14/04/2022,14/04/2022 15:44,00:46:00,0.76666666700,Afternoon Shift,32.966253,13.179410,,,,
611,1687,--,14/04/2022,14/04/2022 16:10,00:17:00,0.28333333300,Afternoon Shift,32.969067,13.178525,,,,
612,1687,--,14/04/2022,14/04/2022 18:28,00:31:00,0.51666666700,Afternoon Shift,32.970835,13.177950,,,,
613,1687,"2.35 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 20:19,00:27:00,0.45000000000,Afternoon Shift,32.929648,13.070812,,,,
614,1687,"8.56 km from Jabal Umm Jidyan, Sudan (SW)",14/04/2022,14/04/2022 22:42,00:30:00,0.50000000000,Night Shift,33.063530,13.181765,,,,
615,1687,"8.5 km from Jabal Umm Jidyan, Sudan (SW)",14/04/2022,14/04/2022 23:03,00:17:00,0.28333333300,Night Shift,33.063870,13.182250,,,,
616,1696,"7.58 km from Al Wilayah al Wusta, Sudan (NE)",14/04/2022,14/04/2022 01:52,00:41:00,0.68333333300,Night Shift,33.002958,13.068023,,,,
617,1696,"2.33 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 04:21,01:01:00,1.01666666700,Night Shift,32.929365,13.070562,,,,
618,1696,"2.33 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 06:18,00:43:00,0.71666666700,Night Shift,32.928960,13.070460,,,,
619,1696,"2.33 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 06:35,00:16:00,0.26666666700,Morning Shift,32.929283,13.070553,,,,
620,1696,"2.45 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 07:16,00:28:00,0.46666666700,Morning Shift,32.929163,13.071633,,,,
621,1696,"2.45 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 07:51,00:34:00,0.56666666700,Morning Shift,32.929182,13.071638,,,,
622,1696,"2.36 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 08:37,00:32:00,0.53333333300,Morning Shift,32.929265,13.070853,,,,
623,1696,"2.39 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 10:06,00:33:00,0.55000000000,Morning Shift,32.928282,13.070890,,,,
624,1696,--,14/04/2022,14/04/2022 11:45,00:17:00,0.28333333300,Morning Shift,32.966982,13.179095,,,,
625,1696,--,14/04/2022,14/04/2022 15:45,00:48:00,0.80000000000,Afternoon Shift,32.965583,13.179808,,,,
626,1696,"2.36 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 18:31,00:24:00,0.40000000000,Afternoon Shift,32.930090,13.071002,,,,
627,1696,"2.39 km from Sufayyah, Sudan (NW)",14/04/2022,14/04/2022 18:52,00:20:00,0.33333333300,Afternoon Shift,32.929157,13.071077,,,,
628,1696,--,14/04/2022,14/04/2022 20:37,00:39:00,0.65000000000,Afternoon Shift,32.968995,13.178478,,,,
629,1696,--,14/04/2022,14/04/2022 21:39,00:17:00,0.28333333300,Afternoon Shift,32.969288,13.178465,,,,
630,1690,"8.5 km from Jabal Umm Jidyan, Sudan (SW)",14/04/2022,14/04/2022 00:17,00:16:00,0.26666666700,Night Shift,33.063885,13.182232,,,,
631,1690,--,14/04/2022,14/04/2022 07:20,00:51:00,0.85000000000,Morning Shift,33.064692,13.150237,,,,
632,1690,--,14/04/2022,14/04/2022 08:16,00:54:00,0.90000000000,Morning Shift,33.065488,13.150565,,,,
