FID,FIELDNO,AREA_FED,Area_Sq_m,PERIMETER 
632,71105,69.292,291025.559,2878.573
633,71106,94.494,396873.676,3165.026
634,71107,146.941,617152.188,3868.017
635,71108,83.196,349421.388,3769.746
636,71109,83.325,349966.295,3848.035
637,71110,49.896,209562.015,3686.924
638,71112,79.390,333437.460,3851.465
639,71111,79.747,334935.953,2575.788
640,71113,72.159,303067.996,2525.790
641,71114,82.471,346378.993,2677.584
642,71115,71.000,298200.163,2397.390
643,71116,51.896,217962.659,2129.817
644,71117,112.491,472461.310,3527.791
645,71118,170.110,714463.434,4136.112
646,71119,187.474,787390.107,4365.238
647,71120,134.648,565522.283,3973.435
648,71121,127.642,536097.324,4007.641
649,71122,147.471,619377.224,4164.838
650,71201,207.497,871487.367,4526.341
651,71202,178.143,748202.237,4212.522
652,71203,185.052,777218.516,4132.606
653,71204,175.851,738575.553,3934.351
654,71205,181.225,761143.770,4039.657
655,71206,148.606,624145.157,3721.161
656,71207,66.902,280990.195,2641.216
657,71208,116.712,490188.939,3197.892
658,71209,41.398,173870.630,2428.699
659,71210,104.267,437923.310,2794.370
660,71211,125.869,528650.267,2969.503
661,71212,90.591,380481.067,2610.528
662,71213,146.671,616016.966,3257.792
663,71214,69.324,291161.786,2712.004
664,71215,149.384,627414.597,3577.884
665,71216,136.410,572923.932,3468.164
666,71217,100.321,421349.066,3310.518
667,71218,173.959,730628.998,3993.063
668,71219,160.250,673050.529,3975.421
669,71220,166.067,697480.510,4074.860
670,71221,136.064,571470.848,3175.014
671,71301,137.048,575603.056,3319.450
672,71302,63.118,265097.085,2104.806
673,71303,54.577,229224.064,2225.244
674,71304,79.163,332483.873,2544.368
675,71305,78.330,328987.389,2481.292
676,71306,145.633,611657.713,3441.124
677,71307,147.265,618514.455,3471.609
678,71308,112.030,470526.891,3341.457
679,71309,152.595,640901.036,3621.909
680,71310,151.947,638176.503,3630.969
681,71311,154.152,647439.916,3801.422
682,71312,109.544,460082.847,2751.832
683,71313,151.276,635361.152,3195.486
684,71314,161.893,679952.680,3333.567
685,71315,154.293,648030.232,3349.436
686,71316,92.396,388064.352,2907.024
687,71317,111.879,469891.167,3246.038
688,71318,121.480,510214.259,3320.936
689,71319,70.697,296928.715,2786.254
690,71401,106.116,445688.230,2804.723
691,71402,163.786,687899.235,3552.508
692,71403,177.149,744024.620,3548.479
693,71404,108.754,456767.998,3136.501
694,71405,127.145,534008.516,3717.253
695,71407,109.262,458902.216,2834.115
696,71408,78.698,330531.291,2579.717
697,71409,81.617,342791.691,2629.983
698,71410,98.667,414401.506,2808.701
699,71411,92.115,386883.720,2877.725
700,71412,58.837,247115.165,2460.485
701,71406,81.044,340385.020,2527.607
702,71413,105.457,442918.288,2710.908
703,71414,118.506,497726.815,2921.431
704,71415,142.952,600396.309,3214.871
705,71416,100.127,420531.706,2842.401
706,71417,202.632,851053.367,3863.744
707,71418,77.249,324446.500,2450.976
